original_hk_gene_id	mapping_status	candidate_ids	candidate_count	local_gene_biotype	api_release	api_latest	api_is_current	api_request_status	notes
ENSPTRG00000009769	candidate_not_in_local_release115_gtf	ENSPTRG00000009769	1		64	ENSPTRG00000009769.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009840	candidate_not_in_local_release115_gtf	ENSPTRG00000009840	1		90	ENSPTRG00000009840.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009864	candidate_not_in_local_release115_gtf	ENSPTRG00000009864	1		90	ENSPTRG00000009864.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010005	candidate_not_in_local_release115_gtf	ENSPTRG00000010005	1		90	ENSPTRG00000010005.6		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010119	candidate_not_in_local_release115_gtf	ENSPTRG00000010119	1		90	ENSPTRG00000010119.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010136	candidate_not_in_local_release115_gtf	ENSPTRG00000010136	1		90	ENSPTRG00000010136.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010400	candidate_not_in_local_release115_gtf	ENSPTRG00000010400	1		90	ENSPTRG00000010400.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010432	candidate_not_in_local_release115_gtf	ENSPTRG00000010432	1		90	ENSPTRG00000010432.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010663	candidate_not_in_local_release115_gtf	ENSPTRG00000010663	1		90	ENSPTRG00000010663.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000010772	candidate_not_in_local_release115_gtf	ENSPTRG00000010772	1		90	ENSPTRG00000010772.5		success	Archive candidate was not found in the local Ensembl 115 GTF
